"Town","FIPS","Year","Measure Type","Variable","Value"
"Colchester","0901115910","2011-2015","Number","Total Households",5734
"Colchester","0901115910","2011-2015","Number","Margins of Error",182
"Colchester","0901115910","2012-2016","Number","Total Households",5818
"Colchester","0901115910","2012-2016","Number","Margins of Error",222
"Colchester","0901115910","2013-2017","Number","Total Households",5851
"Colchester","0901115910","2013-2017","Number","Margins of Error",220
"Colebrook","0900516050","2006-2010","Number","Total Households",554
"Colebrook","0900516050","2006-2010","Number","Margins of Error",49
"Colebrook","0900516050","2007-2011","Number","Total Households",569
"Colebrook","0900516050","2007-2011","Number","Margins of Error",37
"Colebrook","0900516050","2008-2012","Number","Total Households",591
"Colebrook","0900516050","2008-2012","Number","Margins of Error",50
"Colebrook","0900516050","2009-2013","Number","Total Households",586
"Colebrook","0900516050","2009-2013","Number","Margins of Error",51
"Colebrook","0900516050","2010-2014","Number","Total Households",615
"Colebrook","0900516050","2010-2014","Number","Margins of Error",52
"Colebrook","0900516050","2011-2015","Number","Total Households",599
"Colebrook","0900516050","2011-2015","Number","Margins of Error",54
"Colebrook","0900516050","2012-2016","Number","Total Households",588
"Colebrook","0900516050","2012-2016","Number","Margins of Error",50
"Colebrook","0900516050","2013-2017","Number","Total Households",561
"Colebrook","0900516050","2013-2017","Number","Margins of Error",43
"Columbia","0901316400","2006-2010","Number","Total Households",2109
"Columbia","0901316400","2006-2010","Number","Margins of Error",115
"Columbia","0901316400","2007-2011","Number","Total Households",2091
"Columbia","0901316400","2007-2011","Number","Margins of Error",140
"Columbia","0901316400","2008-2012","Number","Total Households",2083
"Columbia","0901316400","2008-2012","Number","Margins of Error",129
"Columbia","0901316400","2009-2013","Number","Total Households",2116
"Columbia","0901316400","2009-2013","Number","Margins of Error",134
"Columbia","0901316400","2010-2014","Number","Total Households",2079
"Columbia","0901316400","2010-2014","Number","Margins of Error",131
"Columbia","0901316400","2011-2015","Number","Total Households",2063
"Columbia","0901316400","2011-2015","Number","Margins of Error",141
"Columbia","0901316400","2012-2016","Number","Total Households",2043
